author,created_at,closed_at,title,state,labels
evanpurkhiser,2024-09-13 18:22:13+00:00,2024-09-13 20:41:23+00:00,ref(js): Remove default export of DateTime,closed,['Scope: Frontend']
evanpurkhiser,2024-09-13 18:18:10+00:00,2024-09-13 18:31:53+00:00,fix(ui): Inmprove spacing on code snippet header,closed,['Scope: Frontend']
sentaur-athena,2024-09-13 18:16:59+00:00,,feat(auth): add org level api access,open,"['Scope: Frontend', 'Scope: Backend']"
armenzg,2024-09-13 18:14:47+00:00,,typing(grouping): Add more modules into stronger typing,open,['Scope: Backend']
michellewzhang,2024-09-13 18:08:13+00:00,2024-09-13 22:01:30+00:00,analytics(flags): add initial analytics,closed,['Scope: Frontend']
michellewzhang,2024-09-13 17:53:11+00:00,2024-09-13 19:01:38+00:00,feat(flags): hide flags from context and add feedback button,closed,['Scope: Frontend']
evanpurkhiser,2024-09-13 17:51:12+00:00,2024-09-13 18:11:13+00:00,ref(rr6): Restrict import from react-router,closed,['Scope: Frontend']
malwilley,2024-09-13 17:29:35+00:00,,feat(query-builder): Allow keys to be edited,open,['Scope: Frontend']
0Calories,2024-09-13 17:23:02+00:00,2024-09-13 18:12:50+00:00,chore(insights): Change copy for query not found message in MongoDB queries,closed,['Scope: Frontend']
michellewzhang,2024-09-13 17:10:16+00:00,2024-09-13 18:10:16+00:00,ref(feedback): rm duplicate line,closed,['Scope: Backend']
asottile-sentry,2024-09-13 17:04:23+00:00,2024-09-13 17:41:21+00:00,ref: fix process consumer test,closed,[]
evanpurkhiser,2024-09-13 16:52:25+00:00,2024-09-13 18:01:55+00:00,feat(rr6): Add reactRouterVersion to 'Route Not Found' errors,closed,['Scope: Frontend']
asottile-sentry,2024-09-13 16:45:17+00:00,2024-09-13 17:22:09+00:00,ref: fix test pollution in test_rdap,closed,[]
0Calories,2024-09-13 16:40:40+00:00,2024-09-13 18:12:58+00:00,chore(insights): Adjust copy of queries search placeholder text,closed,['Scope: Frontend']
markstory,2024-09-13 16:10:42+00:00,,chore: Move deletion tasks to be co-located with the rest of deletions,open,['Scope: Backend']
benvinegar,2024-09-13 16:09:14+00:00,2024-09-13 22:20:03+00:00,"Settings Search: ""Team Slug"" option results in 404",closed,[]
sentaur-athena,2024-09-13 16:06:39+00:00,,Linear integration customers don't see create issue button,open,[]
asottile-sentry,2024-09-13 15:59:46+00:00,2024-09-13 19:40:23+00:00,ref: fix test pollution integrity errors due to cache leaks between tests,closed,[]
edwardgou-sentry,2024-09-13 15:53:52+00:00,2024-09-13 17:16:40+00:00,feat(discover): Adds sum min and max to gauge metrics in discover,closed,['Scope: Backend']
jangjodi,2024-09-13 15:21:57+00:00,2024-09-13 20:35:54+00:00,chore(similarity): Increase seer delay and add to log,closed,['Scope: Backend']
Zylphrex,2024-09-13 14:21:24+00:00,2024-09-13 17:28:34+00:00,chore(deps): Bump sentry-protos to 0.1.21,closed,['Scope: Backend']
Angelodaniel,2024-09-13 14:19:54+00:00,,Alerts - Ability to add description field with markdown to the Alert,open,"['Sync: Jira', 'Product Area: Alerts']"
Angelodaniel,2024-09-13 13:35:44+00:00,2024-09-13 13:44:35+00:00,Insights - Request page should have a default row which shows requests from unknown domains,closed,"['Sync: Jira', 'Product Area: Insights']"
priscilawebdev,2024-09-13 13:14:39+00:00,,feat(link-utils): Add validate link exists function,open,['Scope: Frontend']
priscilawebdev,2024-09-13 12:43:15+00:00,,feat(hook): Introduce useHasMounted hook,open,['Scope: Frontend']
dalnoki,2024-09-13 12:42:00+00:00,,Audit log doesn't show that the user was removed,open,"['Sync: Jira', 'Waiting for: Support']"
pvatterott,2024-09-13 12:41:43+00:00,,Display tags in alerts to Suggested Teams or Members,open,['Product Area: Alerts']
priscilawebdev,2024-09-13 12:35:13+00:00,,URL verification in broadcasts,open,[]
shruthilayaj,2024-09-13 11:55:25+00:00,2024-09-13 14:05:33+00:00,chore(discover): Swallow invalid query errors,closed,['Scope: Backend']
priscilawebdev,2024-09-13 11:41:17+00:00,,ref(whats-new): Move the logic to update internal seen state,open,['Scope: Frontend']
quintasda,2024-09-13 10:01:00+00:00,,Ability to mention a user group in alerts with Slack integration,open,['Product Area: Alerts']
priscilawebdev,2024-09-13 08:58:24+00:00,,Update the logic to set the 'hasSeen' property in What's new,open,[]
priscilawebdev,2024-09-13 08:49:16+00:00,2024-09-13 09:04:01+00:00,ref(whats-new): Remove green badge,closed,['Scope: Frontend']
matejminar,2024-09-13 08:46:40+00:00,2024-09-13 08:47:09+00:00,Ensure onboarding is instrumented correctly,closed,[]
matejminar,2024-09-13 08:46:12+00:00,,Rename growth amplitude events,open,[]
dalnoki,2024-09-13 08:43:54+00:00,,Handling Replay Generation on role switch,open,"['Product Area: Replays', 'Waiting for: Product Owner']"
obostjancic,2024-09-13 07:42:07+00:00,,feat(onboarding): pass project slug to wizard,open,['Scope: Frontend']
mifu67,2024-09-12 23:59:38+00:00,2024-09-13 16:19:31+00:00,fix(anomaly detection): add insights metrics to allow list,closed,['Scope: Frontend']
RyanSkonnord,2024-09-12 23:07:36+00:00,,ref(integrations): Extract dialog helper class from SlackActionEndpoint,open,['Scope: Backend']
JoshFerge,2024-09-12 22:50:21+00:00,,fix(releases): use get_or_create instead of sub transaction,open,['Scope: Backend']
davidenwang,2024-09-12 22:46:29+00:00,,ref(alerts): Remove usage of <Teams> in favor of useUserTeams(),open,['Scope: Frontend']
Zylphrex,2024-09-12 22:44:28+00:00,2024-09-13 14:18:04+00:00,fix(explore): Allow deleting last selected group by,closed,['Scope: Frontend']
davidenwang,2024-09-12 22:36:48+00:00,,ref(alerts): Convert create.tsx to FC,open,['Scope: Frontend']
ceorourke,2024-09-12 21:55:31+00:00,2024-09-13 18:28:23+00:00,ref(alerts): Update _get_start_and_end_indices,closed,['Scope: Backend']
saponifi3d,2024-09-12 21:46:52+00:00,,Add DataConditions for workflow_engine,open,"['Scope: Frontend', 'Scope: Backend']"
MichaelSun48,2024-09-12 21:35:35+00:00,2024-09-12 21:49:54+00:00,fix(custom-views): Fixes page filters getting reset when naving to issues/,closed,['Scope: Frontend']
cmanallen,2024-09-12 21:20:31+00:00,,"Attach FF in Sentry's FE to events using `setContexts(""flags"")`",open,['enhancement']
Zylphrex,2024-09-12 21:20:25+00:00,2024-09-12 21:48:30+00:00,ref(spans): Lift tag loading out of SpanSearchQueryBuilder,closed,['Scope: Frontend']
RyanSkonnord,2024-09-12 21:11:20+00:00,,ref(integrations): Add type annotations to Slack webhooks package,open,['Scope: Backend']
davidenwang,2024-09-12 21:09:39+00:00,,ref(codeowners): Add entry for uptime alerts,open,[]
davidenwang,2024-09-12 20:56:04+00:00,,ref(uptime): Refactor out UptimeAlertForm,open,['Scope: Frontend']
JonasBa,2024-09-12 20:53:09+00:00,,ref(profiling) move source location to frame class,open,['Scope: Frontend']
cathteng,2024-09-12 20:46:51+00:00,2024-09-12 21:29:29+00:00,chore(sentry-apps): log timed out url,closed,['Scope: Backend']
snigdhas,2024-09-12 20:39:21+00:00,,fix(substatus): Add check constraint for Group.substatus,open,['Scope: Backend']
asottile-sentry,2024-09-12 20:33:09+00:00,2024-09-13 13:34:05+00:00,ref: make silo_mode parametrize determinstic,closed,['Scope: Backend']
c298lee,2024-09-12 20:32:38+00:00,2024-09-13 15:42:58+00:00,feat(replay): Replay web vitals tooltip,closed,['Scope: Frontend']
evanpurkhiser,2024-09-12 20:32:31+00:00,2024-09-13 18:01:45+00:00,ref(uptime): Improve rdap data entity usage,closed,['Scope: Backend']
